شركة أشبال النمار للسيارات
القوائم المالية
الفترة: من 01/01/2025 إلى 31/12/2025

=== قائمة الدخل ===
البند,المبلغ (ريال)
الإيرادات (المبيعات),1522826.08
(-) تكلفة المبيعات,-1859366.96
إجمالي الربح/(الخسارة),-336540.88
(-) المصاريف الإدارية,-33925.54
(-) مصاريف التشغيل,-1793.65
صافي الربح/(الخسارة),-372260.07

=== قائمة المركز المالي ===
الأصول,
الأصول الثابتة,14282.61
الأصول المتداولة,230117.67
إجمالي الأصول,244400.28

حقوق الملكية,
رأس المال,5000.00
جاري المالك,428410.66
صافي الربح/(الخسارة),-372260.07
إجمالي حقوق الملكية,61150.59

=== حساب الزكاة ===
مصادر الوعاء الزكوي,
رأس المال,5000.00
جاري المالك,428410.66
إجمالي المصادر,433410.66

الحسميات,
(-) الأصول الثابتة,-14282.61
(-) 11/12 من الإيجار المدفوع مقدماً,-210069.45
إجمالي الحسميات,-224352.06

الوعاء الزكوي,209058.60
نسبة الزكاة,2.5%
مبلغ الزكاة المستحقة,5226.47
